Indicador,Nível_Territorial,Abertura_Territorial,Variável_de_abertura,Categoria,Variável_de_abertura_2,Categoria_2,2016,2017,2018
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso do Sul,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,6.6,5.3,5.3
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso do Sul,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,7.7,6.1,6.2
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso do Sul,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,11.4,9.3,9.1
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso do Sul,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,19.9,16.4,16.3
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,6.5,6.5,7.1
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,6.9,7,7.5
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,8,8.1,8.7
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,12.3,12.3,12.8
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,24.6,23.6,24.2
Taxa de analfabetismo (%),Unidade da Federação,Goiás,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,6.5,5.9,5.7
Taxa de analfabetismo (%),Unidade da Federação,Goiás,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,6.9,6.2,6.1
Taxa de analfabetismo (%),Unidade da Federação,Goiás,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,8,7.3,7.0
Taxa de analfabetismo (%),Unidade da Federação,Goiás,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,12.2,10.6,10.3
Taxa de analfabetismo (%),Unidade da Federação,Goiás,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,24.3,20.9,18.9
Taxa de analfabetismo (%),Unidade da Federação,Distrito Federal,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,2.6,2.5,3.1
Taxa de analfabetismo (%),Unidade da Federação,Distrito Federal,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,2.7,2.7,3.3
Taxa de analfabetismo (%),Unidade da Federação,Distrito Federal,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,3.2,3.1,3.8
Taxa de analfabetismo (%),Unidade da Federação,Distrito Federal,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,4.8,4.9,5.7
Taxa de analfabetismo (%),Unidade da Federação,Distrito Federal,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,10.4,10.9,11.5
